Guid,Name,Type,BillingCountry,Phone,Website,Description
0004e417-441a-4819-b6f9-e5e83b74e089,Yodel,Customer,United States,1.508.390.1000,#N/A,Prandial Foods is the leader in Consumer Goods in Framingham
00d32c52-6e08-4978-b64b-8f71f79a7f88,KFC,Customer,#N/A,#N/A,#N/A,#N/A
04a3268b-53f3-4b0e-a42f-c4d255b34d64,Kanoodle,Customer,Australia,(02) 7112 6523,#N/A,Sample Company is the leader in Media in Kensington
04c81a48-583b-4b27-bcb2-8e55c8e4fb79,Kwideo,Customer,Australia,(02) 7948 6474,#N/A,Petrox Oil Company is the leader in Energy in Sydney
09bda4d7-695f-4a0b-b92a-bf398bc84a60,Yozio,Customer,Germany,#N/A,#N/A,Tara Shea Micko Hospital is the leader in Healthcare in Berlin
1480433c-f643-46fc-8946-d3b5ef89d7ca,Aibox,Customer,Australia,(02) 6082 8265,#N/A,Spacely Sprockets is the leader in Technology in Kingsgrove
14c77b14-471c-4614-9c85-f96e8980aee1,Popeyes,Customer,#N/A,#N/A,#N/A,#N/A
1822ddd0-e4d0-46f7-820c-30baf2aeaef1,Skalith,Customer,Australia,(07) 8503 6141,#N/A,Mooby Corp is the leader in Chemicals in Fairfield
190eae78-1d8a-4a1b-a360-0aa4522e1e70,Bluejam,Customer,Australia,(03) 7876 8876,#N/A,Globex Corporation is the leader in Food & Beverage in Melbourne
1db1d9d5-c43c-4f8c-800d-ebc2d5a28ad8,Wikizz,Customer,United States,1.917.663.2000,#N/A,Leza College of Engineering is the leader in Higher Education in New York
1e240c84-945b-4530-8cf0-7a1da7338d20,Browsetype,Customer,United States,1.212.485.3500,#N/A,First Response Relief Services is the leader in Non Profit in New York
23cfc53e-9bb3-4a1b-ad25-c82babba634b,Myworks,Customer,United States,1.713.646.4100,#N/A,Wentworth Industries is the leader in Engineering in Houston
26b2a80a-f47d-4052-8e75-daee97bcf2e2,Eadel,Customer,United States,1.210.821.4105,#N/A,"Regal Machine, Inc. is the leader in Automotive in Dallas"
2bcdfb31-f0f2-4bc2-9b99-b0c602cef552,Shake Shack,Customer,#N/A,#N/A,#N/A,#N/A
2d03b667-75fa-4b27-a491-7c8800deadd2,Rhynyx,Customer,United States,1.317.488.6000,#N/A,Kellerman Corp. is the leader in Consumer Goods in Indianapolis
2d5cb3a4-ac10-4439-bcf6-5c483e19bd9d,Gigaclub,Customer,Australia,(03) 6472 8807,#N/A,PK South is the leader in Healthcare in Bacchus Marsh
381f5517-2fee-4a37-80dc-d346bdc662b8,Noba,Customer,United States,1.925.842.1000,#N/A,Audioshore is the leader in Technology in San Ramon
388c2483-8da1-419f-973f-3fd60b39f7a1,Layo,Customer,United States,1.404.715.2600,#N/A,Taggart Transcontinental is the leader in Shipping in Atlanta
3913d091-ef0c-4247-b737-70761214da87,Talane,Customer,France,#N/A,#N/A,Universal Export is the leader in Shipping
3ff11749-9ef5-4dc2-93f9-8ba7f884d552,Saint Mary's College,Customer,#N/A,#N/A,#N/A,#N/A
44199be1-cb53-4fe5-b48a-b2947ba4db19,Babbleopia,Customer,Australia,(03) 8569 6279,#N/A,Praveen Kagalkar Hospital is the leader in Healthcare in Balaclava
4771ca77-b7c9-4e23-b930-e8da7e53ed70,Edgepulse,Customer,France,#N/A,#N/A,St. Francis South Side is the leader in Healthcare in Paris
477ebace-8e7d-47ae-bad1-2a01bb2bb3eb,Vitz,Customer,United States,1.203.373.2211,#N/A,"Signal Processing, LLC is the leader in Technology in Fairfield"
494967e8-82fe-4096-9590-6246cd49ba06,Browsedrive,Customer,Japan,#N/A,#N/A,Wernham Hogg is the leader in Telecommunications
4ce969c8-f705-4077-95e7-8b500fb81b71,Thoughtworks,Customer,Australia,(02) 8210 6814,#N/A,NC North is the leader in Healthcare in Cecil Hills
4d64b258-2b9a-4a7f-a7b8-7e2cdf1202e9,Pixoboo,Customer,United States,1.210.626.6000,#N/A,General Products is the leader in Consumer Goods in San Antonio
4da786fd-b0f1-44d0-8e42-944ba651fa05,Devcast,Customer,Australia,(03) 8426 7995,#N/A,Globo Gym American Corp is the leader in Hospitality in Melbourne
4dab3cba-42dd-4da0-a5c7-52615ceec682,Dynazzy,Customer,United States,1.704.386.5681,#N/A,Velso International is the leader in Manufacturing in Charlotte
4ea353e2-964e-4344-b557-4268403ef491,Dabfeed,Customer,Germany,#N/A,#N/A,SS North is the leader in Healthcare in Bavaria
51531c8e-d9ea-4ad5-84f1-dee3a255ba73,Browsebug,Customer,United States,1.281.293.1000,#N/A,"Optimetrics, LLC is the leader in Technology in Houston"
5339c993-939c-4fd6-9a06-1bc27c638915,Browseblab,Customer,United States,1.212.559.1000,#N/A,Martic-Morales Corp. is the leader in Manufacturing in New York
539a8f4f-a7db-4811-9e69-ceddb0cd5c54,Livefish,Customer,United Kingdom,#N/A,#N/A,Videlectrix is the leader in Electronics
56dcd9a1-938c-41a1-8b73-67b19075e842,Yakitri,Customer,USA,(555) 561-5555,#N/A,Susannah St-Germain Hospital is the leader in Healthcare in Seattle
57711ef2-f0cb-4159-8277-8e7a4a23a0ff,AMC Entertainment,Customer,#N/A,#N/A,#N/A,#N/A
59d0494b-b555-44f6-97f0-080318175bac,Quinu,Customer,United States,1.513.579.7000,#N/A,Capitol Museum of Art is the leader in Non Profit in Cincinnati
5afc6133-c566-4b3c-a893-f380b25c60a0,Regal Cinemas,Customer,#N/A,#N/A,#N/A,#N/A
